isbn,title,author,publisher,publish_date,source_url,cover_url,fallback_cover_url,description,category,condition,price,original_price,stock,status,seller_id
9780061120084,To Kill a Mockingbird,Harper Lee,Harper Perennial Modern Classics,2006-05-23,https://openlibrary.org/isbn/9780061120084,upload/ordinary.jpg,,美国文学经典，常用于英语阅读与文学导论课程，围绕成长、正义与社会偏见展开。,文学,九成新,28.00,45.00,3,1,
9780743273565,The Great Gatsby,F. Scott Fitzgerald,Scribner,2004-09-30,https://openlibrary.org/isbn/9780743273565,upload/ordinary.jpg,,二十世纪美国文学代表作，适合作为现代文学和叙事分析课程读物。,文学,八成新,25.00,39.00,3,1,
9780316769488,The Catcher in the Rye,J. D. Salinger,Little Brown and Company,2001-01-30,https://openlibrary.org/isbn/9780316769488,upload/ordinary.jpg,,英语文学常见阅读书目，聚焦青少年成长、疏离感与现代社会经验。,文学,八成新,27.00,42.00,2,1,
9780451524935,1984,George Orwell,Signet Classic,1950-07-01,https://openlibrary.org/isbn/9780451524935,upload/ordinary.jpg,,政治寓言经典，常见于文学、政治思想与传播研究课程延伸阅读。,文学,九成新,24.00,36.00,4,1,
9780060850524,Brave New World,Aldous Huxley,Harper Perennial Modern Classics,2006-10-17,https://openlibrary.org/isbn/9780060850524,upload/ordinary.jpg,,反乌托邦文学代表作，可用于现代文学与社会思想课程相关阅读。,文学,八成新,24.00,38.00,3,1,
9780399501487,Lord of the Flies,William Golding,Perigee Books,1999-10-20,https://openlibrary.org/isbn/9780399501487,upload/ordinary.jpg,,英语文学常见教材书目，讨论文明秩序、群体行为与权力失控。,文学,八成新,23.00,35.00,3,1,
9780451526342,Animal Farm,George Orwell,Signet,1996-04-06,https://openlibrary.org/isbn/9780451526342,upload/ordinary.jpg,,篇幅短、讨论度高，常被用作文学与政治寓言的课堂分析文本。,文学,九成新,18.00,28.00,5,1,
9781451673319,Fahrenheit 451,Ray Bradbury,Simon & Schuster,2012-01-10,https://openlibrary.org/isbn/9781451673319,upload/ordinary.jpg,,科幻与反乌托邦经典，可用于媒介文化、阅读史和文学课程阅读。,文学,九成新,26.00,40.00,3,1,
9780143039433,The Grapes of Wrath,John Steinbeck,Penguin Classics,2006-03-28,https://openlibrary.org/isbn/9780143039433,upload/ordinary.jpg,,美国社会现实主义经典作品，常见于文学与历史社会研究课程。,文学,八成新,29.00,46.00,2,1,
9780140177398,Of Mice and Men,John Steinbeck,Penguin Books,1993-09-01,https://openlibrary.org/isbn/9780140177398,upload/ordinary.jpg,,简洁但高频使用的文学教材书目，适合课堂精读与人物分析。,文学,九成新,19.00,29.00,4,1,
9780684801223,The Old Man and the Sea,Ernest Hemingway,Scribner,1996-08-01,https://openlibrary.org/isbn/9780684801223,upload/ordinary.jpg,,海明威代表作之一，常用于英语文学课程中的风格与象征分析。,文学,九成新,21.00,32.00,3,1,
9780743297332,The Sun Also Rises,Ernest Hemingway,Scribner,2006-07-25,https://openlibrary.org/isbn/9780743297332,upload/ordinary.jpg,,现代主义文学读物，可用于战后文化与小说叙事课程延伸阅读。,文学,八成新,24.00,37.00,2,1,
9780553380163,A Brief History of Time,Stephen Hawking,Bantam,1998-09-01,https://openlibrary.org/isbn/9780553380163,upload/time.jpg,,科学通识经典，适合物理学导论和跨学科通识课程阅读。,科学,九成新,28.00,45.00,3,1,
9780060731335,Freakonomics,Steven D. Levitt / Stephen J. Dubner,William Morrow Paperbacks,2006-04-25,https://openlibrary.org/isbn/9780060731335,upload/economics.jpg,,通俗经济学读物，以案例解释激励、信息和行为决策，适合作为经管类延伸阅读。,经济,九成新,27.00,39.00,3,1,
9780316017930,Outliers,Malcolm Gladwell,Back Bay Books,2011-04-26,https://openlibrary.org/isbn/9780316017930,upload/education.jpg,,讨论成功、环境与训练积累的通识畅销书，适合教育与社会学讨论。,教育,九成新,26.00,39.00,3,1,
9780826412768,Pedagogy of the Oppressed,Paulo Freire,Continuum,2000-09-01,https://openlibrary.org/isbn/9780826412768,upload/pedagogy.jpg,,教育学经典文本，适合教育理论、批判 pedagogy 与师范课程相关阅读。,教育,八成新,31.00,48.00,2,1,
